Training: 2025-11-30 20:06:15,001-rank_id: 0
Training: 2025-11-30 20:22:35,147-[IJB][IJBC_gt_aligned] {'Norm:True_Det:True_tpr_at_fpr_1e-06': 0.28634248606637014, 'Norm:True_Det:True_thresh_at_fpr_1e-06': 0.9900421647353153, 'Norm:True_Det:True_tpr_at_fpr_1e-05': 0.6647236283683591, 'Norm:True_Det:True_thresh_at_fpr_1e-05': 0.9865337461386673, 'Norm:True_Det:True_tpr_at_fpr_0.0001': 1.5799969320447922, 'Norm:True_Det:True_thresh_at_fpr_0.0001': 0.9815292963773068, 'Norm:True_Det:True_tpr_at_fpr_0.001': 4.555913483663138, 'Norm:True_Det:True_thresh_at_fpr_0.001': 0.9741424118830662, 'Norm:True_Det:True_tpr_at_fpr_0.01': 13.069489185457892, 'Norm:True_Det:True_thresh_at_fpr_0.01': 0.9612026728374523, 'Norm:True_Det:True_tpr_at_fpr_0.1': 37.822774454159635, 'Norm:True_Det:True_thresh_at_fpr_0.1': 0.9315155637683177, 'Norm:True_Det:False_tpr_at_fpr_1e-06': 0.2505496753080738, 'Norm:True_Det:False_thresh_at_fpr_1e-06': 0.99020534276227, 'Norm:True_Det:False_tpr_at_fpr_1e-05': 0.628930817610063, 'Norm:True_Det:False_thresh_at_fpr_1e-05': 0.9868338479226071, 'Norm:True_Det:False_tpr_at_fpr_0.0001': 1.5135245692079562, 'Norm:True_Det:False_thresh_at_fpr_0.0001': 0.9818801252212634, 'Norm:True_Det:False_tpr_at_fpr_0.001': 4.397402464590684, 'Norm:True_Det:False_thresh_at_fpr_0.001': 0.9745426676324223, 'Norm:True_Det:False_tpr_at_fpr_0.01': 12.890525131666411, 'Norm:True_Det:False_thresh_at_fpr_0.01': 0.9616391042784298, 'Norm:True_Det:False_tpr_at_fpr_0.1': 37.57222477885156, 'Norm:True_Det:False_thresh_at_fpr_0.1': 0.9320398137544783, 'Norm:False_Det:True_tpr_at_fpr_1e-06': 0.2965690034258833, 'Norm:False_Det:True_thresh_at_fpr_1e-06': 0.9895001849725134, 'Norm:False_Det:True_tpr_at_fpr_1e-05': 0.7567622846039781, 'Norm:False_Det:True_thresh_at_fpr_1e-05': 0.9856863406778048, 'Norm:False_Det:True_tpr_at_fpr_0.0001': 1.6311295188423582, 'Norm:False_Det:True_thresh_at_fpr_0.0001': 0.9807920516353498, 'Norm:False_Det:True_tpr_at_fpr_0.001': 4.693971468016567, 'Norm:False_Det:True_thresh_at_fpr_0.001': 0.9734237309853356, 'Norm:False_Det:True_tpr_at_fpr_0.01': 13.596154829472823, 'Norm:False_Det:True_thresh_at_fpr_0.01': 0.9605753707570313, 'Norm:False_Det:True_tpr_at_fpr_0.1': 38.46193178912921, 'Norm:False_Det:True_thresh_at_fpr_0.1': 0.93131833585488}
Training: 2025-11-30 20:24:17,575-[TinyFace][tinyface_aligned_pad_0.1] {'rank-1': 14.833691716194153, 'rank-5': 19.635193049907684, 'rank-20': 24.40987080335617}
Training: 2025-11-30 20:24:33,840-Reducer buckets have been rebuilt in this iteration.
Training: 2025-11-30 20:24:34,117-Reducer buckets have been rebuilt in this iteration.
Training: 2025-11-30 20:25:07,715-Speed 1123.18 samples/sec   Loss 36.7585 target_logit_mean 0.0087 lma 0.2864  cos_theta_tmp 0.1411  Epoch: 0   Global Step: 100   Required: 556 hours
Training: 2025-11-30 20:25:24,865-Speed 1119.57 samples/sec   Loss 31.5484 target_logit_mean 0.0091 lma 0.3508  cos_theta_tmp 0.1884  Epoch: 0   Global Step: 150   Required: 384 hours
Training: 2025-11-30 20:25:42,042-Speed 1117.78 samples/sec   Loss 29.3565 target_logit_mean 0.0083 lma 0.3728  cos_theta_tmp 0.2318  Epoch: 0   Global Step: 200   Required: 298 hours
Training: 2025-11-30 20:25:59,242-Speed 1116.36 samples/sec   Loss 27.3684 target_logit_mean 0.0072 lma 0.4303  cos_theta_tmp 0.2649  Epoch: 0   Global Step: 250   Required: 246 hours
Training: 2025-11-30 20:26:16,581-Speed 1107.37 samples/sec   Loss 25.7888 target_logit_mean 0.0065 lma 0.4697  cos_theta_tmp 0.2874  Epoch: 0   Global Step: 300   Required: 211 hours
Training: 2025-11-30 20:26:33,978-Speed 1103.66 samples/sec   Loss 24.2866 target_logit_mean 0.0059 lma 0.5248  cos_theta_tmp 0.3183  Epoch: 0   Global Step: 350   Required: 187 hours
Training: 2025-11-30 20:26:51,203-Speed 1114.70 samples/sec   Loss 23.0317 target_logit_mean 0.0034 lma 0.5329  cos_theta_tmp 0.3432  Epoch: 0   Global Step: 400   Required: 168 hours
Training: 2025-11-30 20:27:08,673-Speed 1099.07 samples/sec   Loss 21.8075 target_logit_mean 0.0022 lma 0.5537  cos_theta_tmp 0.3631  Epoch: 0   Global Step: 450   Required: 154 hours
Training: 2025-11-30 20:27:26,115-Speed 1100.87 samples/sec   Loss 20.8785 target_logit_mean 0.0035 lma 0.5644  cos_theta_tmp 0.3919  Epoch: 0   Global Step: 500   Required: 142 hours
Training: 2025-11-30 20:27:43,341-Speed 1114.64 samples/sec   Loss 20.0265 target_logit_mean -0.0005 lma 0.5472  cos_theta_tmp 0.4017  Epoch: 0   Global Step: 550   Required: 133 hours
Training: 2025-11-30 20:28:00,680-Speed 1107.34 samples/sec   Loss 19.3451 target_logit_mean 0.0017 lma 0.5929  cos_theta_tmp 0.4098  Epoch: 0   Global Step: 600   Required: 125 hours
Training: 2025-11-30 20:28:18,222-Speed 1094.58 samples/sec   Loss 18.6191 target_logit_mean -0.0002 lma 0.5987  cos_theta_tmp 0.4275  Epoch: 0   Global Step: 650   Required: 118 hours
Training: 2025-11-30 20:28:35,522-Speed 1109.87 samples/sec   Loss 17.9408 target_logit_mean 0.0007 lma 0.6120  cos_theta_tmp 0.4416  Epoch: 0   Global Step: 700   Required: 112 hours
Training: 2025-11-30 20:28:53,167-Speed 1088.19 samples/sec   Loss 17.3674 target_logit_mean 0.0023 lma 0.6139  cos_theta_tmp 0.4489  Epoch: 0   Global Step: 750   Required: 107 hours
Training: 2025-11-30 20:29:10,440-Speed 1111.57 samples/sec   Loss 16.8794 target_logit_mean 0.0020 lma 0.5995  cos_theta_tmp 0.4559  Epoch: 0   Global Step: 800   Required: 103 hours
Training: 2025-11-30 20:29:27,753-Speed 1109.05 samples/sec   Loss 16.4212 target_logit_mean 0.0013 lma 0.6096  cos_theta_tmp 0.4723  Epoch: 0   Global Step: 850   Required: 99 hours
Training: 2025-11-30 20:29:45,232-Speed 1098.49 samples/sec   Loss 15.9075 target_logit_mean -0.0005 lma 0.6298  cos_theta_tmp 0.4784  Epoch: 0   Global Step: 900   Required: 96 hours
Training: 2025-11-30 20:30:02,458-Speed 1114.62 samples/sec   Loss 15.5064 target_logit_mean 0.0003 lma 0.6268  cos_theta_tmp 0.4909  Epoch: 0   Global Step: 950   Required: 93 hours
Training: 2025-11-30 20:30:19,940-Speed 1098.32 samples/sec   Loss 15.0725 target_logit_mean 0.0007 lma 0.6158  cos_theta_tmp 0.4899  Epoch: 0   Global Step: 1000   Required: 90 hours
Training: 2025-11-30 20:30:37,608-Speed 1086.75 samples/sec   Loss 14.7007 target_logit_mean 0.0011 lma 0.6304  cos_theta_tmp 0.5067  Epoch: 0   Global Step: 1050   Required: 88 hours
Training: 2025-11-30 20:30:55,262-Speed 1087.66 samples/sec   Loss 14.3494 target_logit_mean -0.0021 lma 0.6468  cos_theta_tmp 0.5148  Epoch: 0   Global Step: 1100   Required: 85 hours
Training: 2025-11-30 20:31:12,775-Speed 1096.36 samples/sec   Loss 14.0036 target_logit_mean -0.0014 lma 0.6352  cos_theta_tmp 0.5174  Epoch: 0   Global Step: 1150   Required: 83 hours
Training: 2025-11-30 20:31:30,169-Speed 1103.90 samples/sec   Loss 13.7128 target_logit_mean 0.0008 lma 0.6468  cos_theta_tmp 0.5200  Epoch: 0   Global Step: 1200   Required: 81 hours
Training: 2025-11-30 20:31:47,341-Speed 1118.11 samples/sec   Loss 13.4210 target_logit_mean -0.0019 lma 0.6325  cos_theta_tmp 0.5291  Epoch: 0   Global Step: 1250   Required: 80 hours
Training: 2025-11-30 20:32:04,594-Speed 1112.93 samples/sec   Loss 13.2055 target_logit_mean -0.0001 lma 0.6296  cos_theta_tmp 0.5241  Epoch: 0   Global Step: 1300   Required: 78 hours
Training: 2025-11-30 20:32:22,037-Speed 1100.74 samples/sec   Loss 12.7911 target_logit_mean 0.0002 lma 0.6320  cos_theta_tmp 0.5528  Epoch: 0   Global Step: 1350   Required: 77 hours
Training: 2025-11-30 20:32:39,363-Speed 1108.20 samples/sec   Loss 12.5286 target_logit_mean -0.0007 lma 0.6415  cos_theta_tmp 0.5422  Epoch: 0   Global Step: 1400   Required: 75 hours
Training: 2025-11-30 20:32:56,601-Speed 1113.85 samples/sec   Loss 12.2761 target_logit_mean -0.0017 lma 0.6590  cos_theta_tmp 0.5504  Epoch: 0   Global Step: 1450   Required: 74 hours
Training: 2025-11-30 20:33:13,825-Speed 1114.79 samples/sec   Loss 11.9820 target_logit_mean 0.0023 lma 0.6448  cos_theta_tmp 0.5513  Epoch: 0   Global Step: 1500   Required: 73 hours
Training: 2025-11-30 20:33:31,441-Speed 1089.94 samples/sec   Loss 11.7790 target_logit_mean 0.0004 lma 0.6595  cos_theta_tmp 0.5571  Epoch: 0   Global Step: 1550   Required: 71 hours
Training: 2025-11-30 20:33:48,783-Speed 1107.20 samples/sec   Loss 11.6130 target_logit_mean -0.0016 lma 0.6301  cos_theta_tmp 0.5592  Epoch: 0   Global Step: 1600   Required: 70 hours
Training: 2025-11-30 20:34:06,131-Speed 1106.80 samples/sec   Loss 11.3032 target_logit_mean -0.0000 lma 0.6610  cos_theta_tmp 0.5642  Epoch: 0   Global Step: 1650   Required: 69 hours
Training: 2025-11-30 20:34:23,809-Speed 1086.09 samples/sec   Loss 11.1070 target_logit_mean -0.0000 lma 0.6445  cos_theta_tmp 0.5708  Epoch: 0   Global Step: 1700   Required: 69 hours
Training: 2025-11-30 20:34:41,544-Speed 1082.64 samples/sec   Loss 10.9005 target_logit_mean 0.0021 lma 0.6480  cos_theta_tmp 0.5838  Epoch: 0   Global Step: 1750   Required: 68 hours
Training: 2025-11-30 20:34:58,999-Speed 1100.04 samples/sec   Loss 10.7100 target_logit_mean -0.0007 lma 0.6457  cos_theta_tmp 0.5739  Epoch: 0   Global Step: 1800   Required: 67 hours
Training: 2025-11-30 20:35:16,455-Speed 1099.97 samples/sec   Loss 10.3978 target_logit_mean -0.0028 lma 0.6391  cos_theta_tmp 0.5759  Epoch: 0   Global Step: 1850   Required: 66 hours
Training: 2025-11-30 20:35:33,628-Speed 1118.05 samples/sec   Loss 10.3106 target_logit_mean -0.0014 lma 0.6488  cos_theta_tmp 0.5837  Epoch: 0   Global Step: 1900   Required: 65 hours
Training: 2025-11-30 20:35:50,800-Speed 1118.13 samples/sec   Loss 10.0829 target_logit_mean 0.0013 lma 0.6589  cos_theta_tmp 0.5940  Epoch: 0   Global Step: 1950   Required: 65 hours
Training: 2025-11-30 20:36:07,972-Speed 1118.13 samples/sec   Loss 9.8629 target_logit_mean -0.0011 lma 0.6703  cos_theta_tmp 0.5951  Epoch: 0   Global Step: 2000   Required: 64 hours
Training: 2025-11-30 20:36:25,144-Speed 1118.14 samples/sec   Loss 9.5917 target_logit_mean -0.0004 lma 0.6520  cos_theta_tmp 0.5929  Epoch: 0   Global Step: 2050   Required: 63 hours
Training: 2025-11-30 20:36:42,316-Speed 1118.15 samples/sec   Loss 9.5100 target_logit_mean 0.0007 lma 0.6639  cos_theta_tmp 0.6037  Epoch: 0   Global Step: 2100   Required: 63 hours
Training: 2025-11-30 20:36:59,487-Speed 1118.20 samples/sec   Loss 9.3439 target_logit_mean -0.0004 lma 0.6605  cos_theta_tmp 0.6010  Epoch: 0   Global Step: 2150   Required: 62 hours
Training: 2025-11-30 20:37:16,661-Speed 1118.00 samples/sec   Loss 9.1926 target_logit_mean 0.0001 lma 0.6593  cos_theta_tmp 0.6085  Epoch: 0   Global Step: 2200   Required: 61 hours
Training: 2025-11-30 20:37:33,834-Speed 1118.08 samples/sec   Loss 9.0109 target_logit_mean 0.0009 lma 0.6581  cos_theta_tmp 0.6101  Epoch: 0   Global Step: 2250   Required: 61 hours
Training: 2025-11-30 20:37:51,011-Speed 1117.81 samples/sec   Loss 8.8048 target_logit_mean -0.0025 lma 0.6561  cos_theta_tmp 0.6138  Epoch: 0   Global Step: 2300   Required: 60 hours
Training: 2025-11-30 20:38:08,184-Speed 1118.05 samples/sec   Loss 8.7756 target_logit_mean -0.0005 lma 0.6753  cos_theta_tmp 0.6123  Epoch: 0   Global Step: 2350   Required: 60 hours
Training: 2025-11-30 20:38:25,355-Speed 1118.23 samples/sec   Loss 8.5938 target_logit_mean -0.0007 lma 0.6470  cos_theta_tmp 0.6168  Epoch: 0   Global Step: 2400   Required: 59 hours
Training: 2025-11-30 20:38:42,564-Speed 1115.68 samples/sec   Loss 8.4089 target_logit_mean 0.0006 lma 0.6730  cos_theta_tmp 0.6236  Epoch: 0   Global Step: 2450   Required: 59 hours
Training: 2025-11-30 20:39:00,010-Speed 1100.61 samples/sec   Loss 8.3954 target_logit_mean -0.0001 lma 0.6589  cos_theta_tmp 0.6187  Epoch: 0   Global Step: 2500   Required: 59 hours
Training: 2025-11-30 20:39:17,349-Speed 1107.33 samples/sec   Loss 8.1782 target_logit_mean -0.0003 lma 0.6604  cos_theta_tmp 0.6299  Epoch: 0   Global Step: 2550   Required: 58 hours
Training: 2025-11-30 20:39:34,521-Speed 1118.16 samples/sec   Loss 8.1216 target_logit_mean -0.0013 lma 0.6524  cos_theta_tmp 0.6249  Epoch: 0   Global Step: 2600   Required: 58 hours
Training: 2025-11-30 20:39:51,692-Speed 1118.20 samples/sec   Loss 8.0345 target_logit_mean 0.0028 lma 0.6653  cos_theta_tmp 0.6319  Epoch: 0   Global Step: 2650   Required: 57 hours
Training: 2025-11-30 20:40:08,863-Speed 1118.14 samples/sec   Loss 7.8820 target_logit_mean -0.0034 lma 0.6626  cos_theta_tmp 0.6281  Epoch: 0   Global Step: 2700   Required: 57 hours
Training: 2025-11-30 20:40:26,036-Speed 1118.09 samples/sec   Loss 7.8618 target_logit_mean 0.0036 lma 0.6716  cos_theta_tmp 0.6415  Epoch: 0   Global Step: 2750   Required: 57 hours
Training: 2025-11-30 20:40:43,211-Speed 1117.97 samples/sec   Loss 7.6870 target_logit_mean 0.0005 lma 0.6671  cos_theta_tmp 0.6313  Epoch: 0   Global Step: 2800   Required: 56 hours
Training: 2025-11-30 20:41:00,385-Speed 1117.95 samples/sec   Loss 7.5962 target_logit_mean 0.0001 lma 0.6741  cos_theta_tmp 0.6361  Epoch: 0   Global Step: 2850   Required: 56 hours
Training: 2025-11-30 20:41:17,558-Speed 1118.12 samples/sec   Loss 7.4568 target_logit_mean -0.0015 lma 0.6648  cos_theta_tmp 0.6493  Epoch: 0   Global Step: 2900   Required: 56 hours
Training: 2025-11-30 20:41:34,729-Speed 1118.19 samples/sec   Loss 7.4125 target_logit_mean 0.0009 lma 0.6511  cos_theta_tmp 0.6476  Epoch: 0   Global Step: 2950   Required: 55 hours
Training: 2025-11-30 20:41:51,908-Speed 1117.67 samples/sec   Loss 7.3079 target_logit_mean 0.0006 lma 0.6693  cos_theta_tmp 0.6478  Epoch: 0   Global Step: 3000   Required: 55 hours
Training: 2025-11-30 20:42:09,083-Speed 1117.93 samples/sec   Loss 7.1401 target_logit_mean 0.0020 lma 0.6608  cos_theta_tmp 0.6444  Epoch: 0   Global Step: 3050   Required: 55 hours
Training: 2025-11-30 20:42:26,255-Speed 1118.12 samples/sec   Loss 7.1744 target_logit_mean 0.0012 lma 0.6756  cos_theta_tmp 0.6465  Epoch: 0   Global Step: 3100   Required: 54 hours
Training: 2025-11-30 20:42:43,428-Speed 1118.12 samples/sec   Loss 6.9941 target_logit_mean 0.0008 lma 0.6811  cos_theta_tmp 0.6519  Epoch: 0   Global Step: 3150   Required: 54 hours
Training: 2025-11-30 20:43:00,602-Speed 1118.00 samples/sec   Loss 6.9457 target_logit_mean -0.0009 lma 0.6722  cos_theta_tmp 0.6520  Epoch: 0   Global Step: 3200   Required: 54 hours
Training: 2025-11-30 20:43:17,774-Speed 1118.11 samples/sec   Loss 6.8402 target_logit_mean -0.0000 lma 0.6625  cos_theta_tmp 0.6494  Epoch: 0   Global Step: 3250   Required: 54 hours
Training: 2025-11-30 20:43:34,945-Speed 1118.19 samples/sec   Loss 6.8348 target_logit_mean 0.0009 lma 0.6710  cos_theta_tmp 0.6562  Epoch: 0   Global Step: 3300   Required: 53 hours
Training: 2025-11-30 20:43:52,118-Speed 1118.08 samples/sec   Loss 6.7115 target_logit_mean 0.0007 lma 0.6603  cos_theta_tmp 0.6583  Epoch: 0   Global Step: 3350   Required: 53 hours
Training: 2025-11-30 20:44:09,292-Speed 1118.02 samples/sec   Loss 6.5921 target_logit_mean -0.0005 lma 0.6746  cos_theta_tmp 0.6531  Epoch: 0   Global Step: 3400   Required: 53 hours
Training: 2025-11-30 20:44:26,465-Speed 1118.09 samples/sec   Loss 6.5719 target_logit_mean 0.0017 lma 0.6668  cos_theta_tmp 0.6598  Epoch: 0   Global Step: 3450   Required: 53 hours
Training: 2025-11-30 20:44:43,674-Speed 1115.73 samples/sec   Loss 6.5574 target_logit_mean 0.0008 lma 0.6798  cos_theta_tmp 0.6677  Epoch: 0   Global Step: 3500   Required: 52 hours
Training: 2025-11-30 20:45:00,845-Speed 1118.14 samples/sec   Loss 6.3802 target_logit_mean 0.0008 lma 0.6775  cos_theta_tmp 0.6692  Epoch: 0   Global Step: 3550   Required: 52 hours
Training: 2025-11-30 20:45:18,021-Speed 1117.93 samples/sec   Loss 6.3249 target_logit_mean 0.0007 lma 0.6625  cos_theta_tmp 0.6637  Epoch: 0   Global Step: 3600   Required: 52 hours
Training: 2025-11-30 20:45:35,195-Speed 1118.02 samples/sec   Loss 6.3686 target_logit_mean -0.0029 lma 0.6664  cos_theta_tmp 0.6621  Epoch: 0   Global Step: 3650   Required: 52 hours
Training: 2025-11-30 20:45:52,366-Speed 1118.18 samples/sec   Loss 6.2621 target_logit_mean 0.0002 lma 0.6810  cos_theta_tmp 0.6580  Epoch: 0   Global Step: 3700   Required: 52 hours
Training: 2025-11-30 20:46:09,539-Speed 1118.03 samples/sec   Loss 6.2280 target_logit_mean 0.0009 lma 0.6610  cos_theta_tmp 0.6740  Epoch: 0   Global Step: 3750   Required: 51 hours
Training: 2025-11-30 20:46:26,711-Speed 1118.15 samples/sec   Loss 6.0843 target_logit_mean 0.0043 lma 0.6700  cos_theta_tmp 0.6774  Epoch: 0   Global Step: 3800   Required: 51 hours
Training: 2025-11-30 20:46:43,883-Speed 1118.16 samples/sec   Loss 6.0653 target_logit_mean 0.0007 lma 0.6696  cos_theta_tmp 0.6733  Epoch: 0   Global Step: 3850   Required: 51 hours
Training: 2025-11-30 20:47:01,059-Speed 1117.88 samples/sec   Loss 6.0482 target_logit_mean -0.0012 lma 0.6596  cos_theta_tmp 0.6799  Epoch: 0   Global Step: 3900   Required: 51 hours
Training: 2025-11-30 20:47:18,439-Speed 1104.75 samples/sec   Loss 6.0446 target_logit_mean -0.0010 lma 0.6626  cos_theta_tmp 0.6717  Epoch: 0   Global Step: 3950   Required: 51 hours
Training: 2025-11-30 20:47:35,982-Speed 1094.49 samples/sec   Loss 5.9647 target_logit_mean 0.0020 lma 0.6789  cos_theta_tmp 0.6746  Epoch: 0   Global Step: 4000   Required: 50 hours
Training: 2025-11-30 20:47:53,400-Speed 1102.37 samples/sec   Loss 5.9025 target_logit_mean 0.0015 lma 0.6762  cos_theta_tmp 0.6825  Epoch: 0   Global Step: 4050   Required: 50 hours
Training: 2025-11-30 20:48:10,564-Speed 1118.67 samples/sec   Loss 5.8627 target_logit_mean -0.0005 lma 0.6645  cos_theta_tmp 0.6668  Epoch: 0   Global Step: 4100   Required: 50 hours
Training: 2025-11-30 20:48:27,743-Speed 1117.66 samples/sec   Loss 5.8110 target_logit_mean 0.0001 lma 0.6748  cos_theta_tmp 0.6748  Epoch: 0   Global Step: 4150   Required: 50 hours
Training: 2025-11-30 20:48:44,905-Speed 1118.83 samples/sec   Loss 5.7287 target_logit_mean -0.0021 lma 0.6782  cos_theta_tmp 0.6800  Epoch: 0   Global Step: 4200   Required: 50 hours
Training: 2025-11-30 20:49:02,088-Speed 1117.41 samples/sec   Loss 5.7126 target_logit_mean 0.0005 lma 0.6657  cos_theta_tmp 0.6836  Epoch: 0   Global Step: 4250   Required: 50 hours
Training: 2025-11-30 20:49:19,267-Speed 1117.68 samples/sec   Loss 5.8104 target_logit_mean -0.0023 lma 0.6749  cos_theta_tmp 0.6759  Epoch: 0   Global Step: 4300   Required: 49 hours
Training: 2025-11-30 20:49:36,431-Speed 1118.67 samples/sec   Loss 5.6868 target_logit_mean 0.0015 lma 0.6731  cos_theta_tmp 0.6844  Epoch: 0   Global Step: 4350   Required: 49 hours
Training: 2025-11-30 20:49:53,610-Speed 1117.65 samples/sec   Loss 5.6582 target_logit_mean -0.0006 lma 0.6758  cos_theta_tmp 0.6776  Epoch: 0   Global Step: 4400   Required: 49 hours
Training: 2025-11-30 20:50:10,775-Speed 1118.60 samples/sec   Loss 5.6003 target_logit_mean -0.0023 lma 0.6686  cos_theta_tmp 0.6711  Epoch: 0   Global Step: 4450   Required: 49 hours
Training: 2025-11-30 20:50:27,955-Speed 1117.62 samples/sec   Loss 5.6195 target_logit_mean -0.0003 lma 0.6702  cos_theta_tmp 0.6751  Epoch: 0   Global Step: 4500   Required: 49 hours
Training: 2025-11-30 20:50:45,117-Speed 1118.77 samples/sec   Loss 5.5554 target_logit_mean 0.0008 lma 0.6764  cos_theta_tmp 0.6803  Epoch: 0   Global Step: 4550   Required: 49 hours
Training: 2025-11-30 20:51:02,302-Speed 1117.31 samples/sec   Loss 5.5122 target_logit_mean 0.0032 lma 0.6771  cos_theta_tmp 0.6888  Epoch: 0   Global Step: 4600   Required: 49 hours
Training: 2025-11-30 20:51:19,482-Speed 1117.57 samples/sec   Loss 5.4206 target_logit_mean 0.0010 lma 0.6689  cos_theta_tmp 0.6772  Epoch: 0   Global Step: 4650   Required: 49 hours
Training: 2025-11-30 20:51:36,643-Speed 1118.86 samples/sec   Loss 5.4713 target_logit_mean 0.0011 lma 0.6868  cos_theta_tmp 0.6904  Epoch: 0   Global Step: 4700   Required: 48 hours
Training: 2025-11-30 20:51:53,824-Speed 1117.56 samples/sec   Loss 5.4697 target_logit_mean -0.0014 lma 0.6676  cos_theta_tmp 0.6835  Epoch: 0   Global Step: 4750   Required: 48 hours
Training: 2025-11-30 20:52:10,986-Speed 1118.73 samples/sec   Loss 5.4983 target_logit_mean 0.0016 lma 0.6838  cos_theta_tmp 0.6893  Epoch: 0   Global Step: 4800   Required: 48 hours
Training: 2025-11-30 20:52:28,164-Speed 1117.77 samples/sec   Loss 5.3988 target_logit_mean -0.0023 lma 0.6641  cos_theta_tmp 0.6850  Epoch: 0   Global Step: 4850   Required: 48 hours
Training: 2025-11-30 20:52:45,327-Speed 1118.72 samples/sec   Loss 5.3409 target_logit_mean 0.0019 lma 0.6711  cos_theta_tmp 0.6933  Epoch: 0   Global Step: 4900   Required: 48 hours
Training: 2025-11-30 20:53:02,524-Speed 1116.52 samples/sec   Loss 5.3600 target_logit_mean 0.0020 lma 0.6695  cos_theta_tmp 0.6898  Epoch: 0   Global Step: 4950   Required: 48 hours
Training: 2025-11-30 20:53:19,704-Speed 1117.62 samples/sec   Loss 5.3384 target_logit_mean 0.0004 lma 0.6747  cos_theta_tmp 0.6838  Epoch: 0   Global Step: 5000   Required: 48 hours
Training: 2025-11-30 20:53:36,869-Speed 1118.59 samples/sec   Loss 5.1637 target_logit_mean 0.0019 lma 0.6733  cos_theta_tmp 0.6921  Epoch: 0   Global Step: 5050   Required: 48 hours
Training: 2025-11-30 20:53:54,050-Speed 1117.54 samples/sec   Loss 5.1146 target_logit_mean 0.0007 lma 0.6796  cos_theta_tmp 0.6885  Epoch: 0   Global Step: 5100   Required: 47 hours
Training: 2025-11-30 20:54:11,216-Speed 1118.50 samples/sec   Loss 5.2420 target_logit_mean 0.0005 lma 0.6722  cos_theta_tmp 0.6955  Epoch: 0   Global Step: 5150   Required: 47 hours
