Training: 2025-12-11 21:57:15,474-rank_id: 0
Training: 2025-12-11 22:08:22,534-Speed 1103.72 samples/sec   Loss 16.6200 target_logit_mean 0.0423 lma 0.6347  cos_theta_tmp 0.4672 geom_penalty 0.3857 geom_weighted 0.0432 Epoch: 0   Global Step: 1700   Required: 39 hours
Training: 2025-12-11 22:08:39,925-Speed 1104.02 samples/sec   Loss 16.4132 target_logit_mean 0.0439 lma 0.6356  cos_theta_tmp 0.4801 geom_penalty 0.3631 geom_weighted 0.0419 Epoch: 0   Global Step: 1750   Required: 39 hours
Training: 2025-12-11 22:08:57,320-Speed 1103.80 samples/sec   Loss 16.2177 target_logit_mean 0.0446 lma 0.6341  cos_theta_tmp 0.4715 geom_penalty 0.3684 geom_weighted 0.0437 Epoch: 0   Global Step: 1800   Required: 39 hours
Training: 2025-12-11 22:09:14,712-Speed 1104.05 samples/sec   Loss 15.9264 target_logit_mean 0.0439 lma 0.6275  cos_theta_tmp 0.4731 geom_penalty 0.3749 geom_weighted 0.0457 Epoch: 0   Global Step: 1850   Required: 39 hours
Training: 2025-12-11 22:09:32,106-Speed 1103.88 samples/sec   Loss 15.8651 target_logit_mean 0.0447 lma 0.6381  cos_theta_tmp 0.4795 geom_penalty 0.3664 geom_weighted 0.0459 Epoch: 0   Global Step: 1900   Required: 39 hours
Training: 2025-12-11 22:09:49,502-Speed 1103.75 samples/sec   Loss 15.6311 target_logit_mean 0.0486 lma 0.6460  cos_theta_tmp 0.4870 geom_penalty 0.3790 geom_weighted 0.0487 Epoch: 0   Global Step: 1950   Required: 39 hours
Training: 2025-12-11 22:10:06,895-Speed 1103.91 samples/sec   Loss 15.4168 target_logit_mean 0.0507 lma 0.6595  cos_theta_tmp 0.4906 geom_penalty 0.3990 geom_weighted 0.0526 Epoch: 0   Global Step: 2000   Required: 39 hours
Training: 2025-12-11 22:10:24,289-Speed 1103.91 samples/sec   Loss 15.2281 target_logit_mean 0.0456 lma 0.6397  cos_theta_tmp 0.4906 geom_penalty 0.3409 geom_weighted 0.0461 Epoch: 0   Global Step: 2050   Required: 39 hours
Training: 2025-12-11 22:10:41,683-Speed 1103.89 samples/sec   Loss 15.2069 target_logit_mean 0.0484 lma 0.6523  cos_theta_tmp 0.4993 geom_penalty 0.3486 geom_weighted 0.0483 Epoch: 0   Global Step: 2100   Required: 39 hours
Training: 2025-12-11 22:10:59,075-Speed 1103.98 samples/sec   Loss 14.9178 target_logit_mean 0.0515 lma 0.6481  cos_theta_tmp 0.4980 geom_penalty 0.3563 geom_weighted 0.0505 Epoch: 0   Global Step: 2150   Required: 39 hours
Training: 2025-12-11 22:11:16,474-Speed 1103.56 samples/sec   Loss 14.7830 target_logit_mean 0.0488 lma 0.6478  cos_theta_tmp 0.5035 geom_penalty 0.3425 geom_weighted 0.0497 Epoch: 0   Global Step: 2200   Required: 39 hours
Training: 2025-12-11 22:11:33,872-Speed 1103.63 samples/sec   Loss 14.6550 target_logit_mean 0.0500 lma 0.6444  cos_theta_tmp 0.5056 geom_penalty 0.3347 geom_weighted 0.0496 Epoch: 0   Global Step: 2250   Required: 39 hours
Training: 2025-12-11 22:11:51,264-Speed 1104.04 samples/sec   Loss 14.4195 target_logit_mean 0.0465 lma 0.6437  cos_theta_tmp 0.5106 geom_penalty 0.3185 geom_weighted 0.0483 Epoch: 0   Global Step: 2300   Required: 39 hours
Training: 2025-12-11 22:12:08,658-Speed 1103.90 samples/sec   Loss 14.2687 target_logit_mean 0.0557 lma 0.6627  cos_theta_tmp 0.5076 geom_penalty 0.3693 geom_weighted 0.0572 Epoch: 0   Global Step: 2350   Required: 39 hours
Training: 2025-12-11 22:12:26,052-Speed 1103.85 samples/sec   Loss 14.1453 target_logit_mean 0.0487 lma 0.6350  cos_theta_tmp 0.5052 geom_penalty 0.3110 geom_weighted 0.0492 Epoch: 0   Global Step: 2400   Required: 39 hours
Training: 2025-12-11 22:12:43,448-Speed 1103.77 samples/sec   Loss 13.9206 target_logit_mean 0.0562 lma 0.6596  cos_theta_tmp 0.5178 geom_penalty 0.3405 geom_weighted 0.0550 Epoch: 0   Global Step: 2450   Required: 39 hours
Training: 2025-12-11 22:13:00,844-Speed 1103.75 samples/sec   Loss 13.8759 target_logit_mean 0.0510 lma 0.6474  cos_theta_tmp 0.5176 geom_penalty 0.3127 geom_weighted 0.0515 Epoch: 0   Global Step: 2500   Required: 39 hours
Training: 2025-12-11 22:13:18,237-Speed 1103.94 samples/sec   Loss 13.6690 target_logit_mean 0.0506 lma 0.6477  cos_theta_tmp 0.5267 geom_penalty 0.3012 geom_weighted 0.0506 Epoch: 0   Global Step: 2550   Required: 39 hours
Training: 2025-12-11 22:13:35,629-Speed 1103.97 samples/sec   Loss 13.5683 target_logit_mean 0.0476 lma 0.6415  cos_theta_tmp 0.5211 geom_penalty 0.2880 geom_weighted 0.0494 Epoch: 0   Global Step: 2600   Required: 39 hours
Training: 2025-12-11 22:13:53,026-Speed 1103.68 samples/sec   Loss 13.4257 target_logit_mean 0.0539 lma 0.6550  cos_theta_tmp 0.5287 geom_penalty 0.3085 geom_weighted 0.0539 Epoch: 0   Global Step: 2650   Required: 38 hours
Training: 2025-12-11 22:14:10,425-Speed 1103.60 samples/sec   Loss 13.3183 target_logit_mean 0.0541 lma 0.6521  cos_theta_tmp 0.5278 geom_penalty 0.3072 geom_weighted 0.0547 Epoch: 0   Global Step: 2700   Required: 38 hours
Training: 2025-12-11 22:14:27,817-Speed 1104.00 samples/sec   Loss 13.2322 target_logit_mean 0.0589 lma 0.6617  cos_theta_tmp 0.5390 geom_penalty 0.3087 geom_weighted 0.0560 Epoch: 0   Global Step: 2750   Required: 38 hours
Training: 2025-12-11 22:14:45,210-Speed 1103.91 samples/sec   Loss 12.9957 target_logit_mean 0.0557 lma 0.6556  cos_theta_tmp 0.5331 geom_penalty 0.3091 geom_weighted 0.0571 Epoch: 0   Global Step: 2800   Required: 38 hours
Training: 2025-12-11 22:15:02,605-Speed 1103.88 samples/sec   Loss 12.9019 target_logit_mean 0.0579 lma 0.6624  cos_theta_tmp 0.5355 geom_penalty 0.3052 geom_weighted 0.0573 Epoch: 0   Global Step: 2850   Required: 38 hours
Training: 2025-12-11 22:15:19,998-Speed 1103.89 samples/sec   Loss 12.7386 target_logit_mean 0.0496 lma 0.6528  cos_theta_tmp 0.5470 geom_penalty 0.2716 geom_weighted 0.0519 Epoch: 0   Global Step: 2900   Required: 38 hours
Training: 2025-12-11 22:15:37,388-Speed 1104.15 samples/sec   Loss 12.6768 target_logit_mean 0.0521 lma 0.6405  cos_theta_tmp 0.5482 geom_penalty 0.2651 geom_weighted 0.0516 Epoch: 0   Global Step: 2950   Required: 38 hours
Training: 2025-12-11 22:15:54,784-Speed 1103.78 samples/sec   Loss 12.5343 target_logit_mean 0.0565 lma 0.6571  cos_theta_tmp 0.5523 geom_penalty 0.2759 geom_weighted 0.0546 Epoch: 0   Global Step: 3000   Required: 38 hours
Training: 2025-12-11 22:16:12,181-Speed 1103.68 samples/sec   Loss 12.3427 target_logit_mean 0.0553 lma 0.6506  cos_theta_tmp 0.5435 geom_penalty 0.2800 geom_weighted 0.0563 Epoch: 0   Global Step: 3050   Required: 38 hours
Training: 2025-12-11 22:16:29,577-Speed 1103.75 samples/sec   Loss 12.2673 target_logit_mean 0.0626 lma 0.6644  cos_theta_tmp 0.5486 geom_penalty 0.3003 geom_weighted 0.0614 Epoch: 0   Global Step: 3100   Required: 38 hours
Training: 2025-12-11 22:16:46,969-Speed 1104.00 samples/sec   Loss 12.0975 target_logit_mean 0.0615 lma 0.6687  cos_theta_tmp 0.5543 geom_penalty 0.3000 geom_weighted 0.0623 Epoch: 0   Global Step: 3150   Required: 38 hours
Training: 2025-12-11 22:17:04,362-Speed 1103.93 samples/sec   Loss 11.9795 target_logit_mean 0.0562 lma 0.6593  cos_theta_tmp 0.5548 geom_penalty 0.2732 geom_weighted 0.0576 Epoch: 0   Global Step: 3200   Required: 38 hours
Training: 2025-12-11 22:17:21,754-Speed 1104.02 samples/sec   Loss 11.8601 target_logit_mean 0.0531 lma 0.6502  cos_theta_tmp 0.5595 geom_penalty 0.2520 geom_weighted 0.0540 Epoch: 0   Global Step: 3250   Required: 38 hours
Training: 2025-12-11 22:17:39,150-Speed 1103.74 samples/sec   Loss 11.7673 target_logit_mean 0.0576 lma 0.6607  cos_theta_tmp 0.5611 geom_penalty 0.2552 geom_weighted 0.0555 Epoch: 0   Global Step: 3300   Required: 38 hours
Training: 2025-12-11 22:17:56,549-Speed 1103.60 samples/sec   Loss 11.6639 target_logit_mean 0.0540 lma 0.6489  cos_theta_tmp 0.5645 geom_penalty 0.2353 geom_weighted 0.0520 Epoch: 0   Global Step: 3350   Required: 38 hours
Training: 2025-12-11 22:18:13,942-Speed 1103.92 samples/sec   Loss 11.4180 target_logit_mean 0.0577 lma 0.6633  cos_theta_tmp 0.5643 geom_penalty 0.2600 geom_weighted 0.0583 Epoch: 0   Global Step: 3400   Required: 38 hours
Training: 2025-12-11 22:18:31,341-Speed 1103.58 samples/sec   Loss 11.3730 target_logit_mean 0.0552 lma 0.6550  cos_theta_tmp 0.5713 geom_penalty 0.2314 geom_weighted 0.0526 Epoch: 0   Global Step: 3450   Required: 38 hours
Training: 2025-12-11 22:18:48,735-Speed 1103.88 samples/sec   Loss 11.3072 target_logit_mean 0.0583 lma 0.6682  cos_theta_tmp 0.5726 geom_penalty 0.2546 geom_weighted 0.0588 Epoch: 0   Global Step: 3500   Required: 38 hours
Training: 2025-12-11 22:19:06,130-Speed 1103.80 samples/sec   Loss 11.1152 target_logit_mean 0.0580 lma 0.6665  cos_theta_tmp 0.5754 geom_penalty 0.2466 geom_weighted 0.0577 Epoch: 0   Global Step: 3550   Required: 38 hours
Training: 2025-12-11 22:19:23,528-Speed 1103.62 samples/sec   Loss 11.0250 target_logit_mean 0.0555 lma 0.6520  cos_theta_tmp 0.5726 geom_penalty 0.2347 geom_weighted 0.0557 Epoch: 0   Global Step: 3600   Required: 38 hours
Training: 2025-12-11 22:19:40,925-Speed 1103.69 samples/sec   Loss 10.9488 target_logit_mean 0.0604 lma 0.6551  cos_theta_tmp 0.5705 geom_penalty 0.2558 geom_weighted 0.0616 Epoch: 0   Global Step: 3650   Required: 38 hours
Training: 2025-12-11 22:19:58,320-Speed 1103.82 samples/sec   Loss 10.8773 target_logit_mean 0.0647 lma 0.6699  cos_theta_tmp 0.5680 geom_penalty 0.2710 geom_weighted 0.0661 Epoch: 0   Global Step: 3700   Required: 38 hours
Training: 2025-12-11 22:20:15,719-Speed 1103.54 samples/sec   Loss 10.7226 target_logit_mean 0.0524 lma 0.6500  cos_theta_tmp 0.5844 geom_penalty 0.2051 geom_weighted 0.0507 Epoch: 0   Global Step: 3750   Required: 38 hours
Training: 2025-12-11 22:20:33,114-Speed 1103.83 samples/sec   Loss 10.5632 target_logit_mean 0.0564 lma 0.6594  cos_theta_tmp 0.5941 geom_penalty 0.2139 geom_weighted 0.0536 Epoch: 0   Global Step: 3800   Required: 38 hours
Training: 2025-12-11 22:20:50,509-Speed 1103.79 samples/sec   Loss 10.4341 target_logit_mean 0.0546 lma 0.6592  cos_theta_tmp 0.5923 geom_penalty 0.2109 geom_weighted 0.0535 Epoch: 0   Global Step: 3850   Required: 38 hours
Training: 2025-12-11 22:21:07,902-Speed 1103.97 samples/sec   Loss 10.4220 target_logit_mean 0.0446 lma 0.6482  cos_theta_tmp 0.5972 geom_penalty 0.1739 geom_weighted 0.0447 Epoch: 0   Global Step: 3900   Required: 38 hours
Training: 2025-12-11 22:21:25,299-Speed 1103.67 samples/sec   Loss 10.3483 target_logit_mean 0.0511 lma 0.6526  cos_theta_tmp 0.5912 geom_penalty 0.2072 geom_weighted 0.0540 Epoch: 0   Global Step: 3950   Required: 38 hours
Training: 2025-12-11 22:21:42,693-Speed 1103.88 samples/sec   Loss 10.2832 target_logit_mean 0.0615 lma 0.6693  cos_theta_tmp 0.5900 geom_penalty 0.2230 geom_weighted 0.0588 Epoch: 0   Global Step: 4000   Required: 38 hours
Training: 2025-12-11 22:22:00,087-Speed 1103.87 samples/sec   Loss 10.1474 target_logit_mean 0.0575 lma 0.6670  cos_theta_tmp 0.5983 geom_penalty 0.2122 geom_weighted 0.0567 Epoch: 0   Global Step: 4050   Required: 38 hours
Training: 2025-12-11 22:22:17,484-Speed 1103.69 samples/sec   Loss 10.0883 target_logit_mean 0.0530 lma 0.6540  cos_theta_tmp 0.5892 geom_penalty 0.2007 geom_weighted 0.0543 Epoch: 0   Global Step: 4100   Required: 38 hours
Training: 2025-12-11 22:22:34,878-Speed 1103.91 samples/sec   Loss 9.9795 target_logit_mean 0.0571 lma 0.6659  cos_theta_tmp 0.5989 geom_penalty 0.2094 geom_weighted 0.0573 Epoch: 0   Global Step: 4150   Required: 38 hours
Training: 2025-12-11 22:22:52,272-Speed 1103.89 samples/sec   Loss 9.8246 target_logit_mean 0.0601 lma 0.6685  cos_theta_tmp 0.5999 geom_penalty 0.2220 geom_weighted 0.0615 Epoch: 0   Global Step: 4200   Required: 38 hours
Training: 2025-12-11 22:23:09,668-Speed 1103.77 samples/sec   Loss 9.7699 target_logit_mean 0.0505 lma 0.6553  cos_theta_tmp 0.6074 geom_penalty 0.1820 geom_weighted 0.0510 Epoch: 0   Global Step: 4250   Required: 38 hours
Training: 2025-12-11 22:23:27,062-Speed 1103.86 samples/sec   Loss 9.7929 target_logit_mean 0.0521 lma 0.6655  cos_theta_tmp 0.6004 geom_penalty 0.1971 geom_weighted 0.0559 Epoch: 0   Global Step: 4300   Required: 38 hours
Training: 2025-12-11 22:23:44,456-Speed 1103.92 samples/sec   Loss 9.6573 target_logit_mean 0.0598 lma 0.6630  cos_theta_tmp 0.6052 geom_penalty 0.2015 geom_weighted 0.0578 Epoch: 0   Global Step: 4350   Required: 38 hours
Training: 2025-12-11 22:24:01,849-Speed 1103.95 samples/sec   Loss 9.5611 target_logit_mean 0.0603 lma 0.6658  cos_theta_tmp 0.6017 geom_penalty 0.2104 geom_weighted 0.0610 Epoch: 0   Global Step: 4400   Required: 38 hours
Training: 2025-12-11 22:24:19,242-Speed 1103.92 samples/sec   Loss 9.5176 target_logit_mean 0.0578 lma 0.6605  cos_theta_tmp 0.5972 geom_penalty 0.2042 geom_weighted 0.0599 Epoch: 0   Global Step: 4450   Required: 38 hours
Training: 2025-12-11 22:24:36,655-Speed 1102.66 samples/sec   Loss 9.4207 target_logit_mean 0.0583 lma 0.6604  cos_theta_tmp 0.5994 geom_penalty 0.1941 geom_weighted 0.0576 Epoch: 0   Global Step: 4500   Required: 38 hours
Training: 2025-12-11 22:24:54,195-Speed 1094.68 samples/sec   Loss 9.3933 target_logit_mean 0.0574 lma 0.6687  cos_theta_tmp 0.6100 geom_penalty 0.1943 geom_weighted 0.0583 Epoch: 0   Global Step: 4550   Required: 38 hours
Training: 2025-12-11 22:25:11,815-Speed 1089.76 samples/sec   Loss 9.2967 target_logit_mean 0.0594 lma 0.6690  cos_theta_tmp 0.6128 geom_penalty 0.1875 geom_weighted 0.0569 Epoch: 0   Global Step: 4600   Required: 38 hours
Training: 2025-12-11 22:25:29,365-Speed 1094.09 samples/sec   Loss 9.1725 target_logit_mean 0.0581 lma 0.6597  cos_theta_tmp 0.6056 geom_penalty 0.1917 geom_weighted 0.0588 Epoch: 0   Global Step: 4650   Required: 38 hours
Training: 2025-12-11 22:25:46,863-Speed 1097.31 samples/sec   Loss 9.0975 target_logit_mean 0.0588 lma 0.6780  cos_theta_tmp 0.6288 geom_penalty 0.1883 geom_weighted 0.0583 Epoch: 0   Global Step: 4700   Required: 38 hours
Training: 2025-12-11 22:26:04,331-Speed 1099.19 samples/sec   Loss 9.0622 target_logit_mean 0.0553 lma 0.6586  cos_theta_tmp 0.6128 geom_penalty 0.1770 geom_weighted 0.0554 Epoch: 0   Global Step: 4750   Required: 38 hours
Training: 2025-12-11 22:26:21,831-Speed 1097.23 samples/sec   Loss 9.0275 target_logit_mean 0.0582 lma 0.6752  cos_theta_tmp 0.6193 geom_penalty 0.1801 geom_weighted 0.0570 Epoch: 0   Global Step: 4800   Required: 38 hours
Training: 2025-12-11 22:26:39,277-Speed 1100.58 samples/sec   Loss 8.8973 target_logit_mean 0.0529 lma 0.6558  cos_theta_tmp 0.6168 geom_penalty 0.1722 geom_weighted 0.0551 Epoch: 0   Global Step: 4850   Required: 38 hours
Training: 2025-12-11 22:26:56,684-Speed 1103.04 samples/sec   Loss 8.8145 target_logit_mean 0.0587 lma 0.6616  cos_theta_tmp 0.6233 geom_penalty 0.1782 geom_weighted 0.0576 Epoch: 0   Global Step: 4900   Required: 38 hours
Training: 2025-12-11 22:27:14,094-Speed 1102.84 samples/sec   Loss 8.7819 target_logit_mean 0.0565 lma 0.6632  cos_theta_tmp 0.6236 geom_penalty 0.1676 geom_weighted 0.0547 Epoch: 0   Global Step: 4950   Required: 38 hours
Training: 2025-12-11 22:27:31,490-Speed 1103.74 samples/sec   Loss 8.7456 target_logit_mean 0.0573 lma 0.6663  cos_theta_tmp 0.6211 geom_penalty 0.1738 geom_weighted 0.0573 Epoch: 0   Global Step: 5000   Required: 38 hours
Training: 2025-12-11 22:27:48,899-Speed 1102.96 samples/sec   Loss 8.5468 target_logit_mean 0.0594 lma 0.6656  cos_theta_tmp 0.6289 geom_penalty 0.1710 geom_weighted 0.0569 Epoch: 0   Global Step: 5050   Required: 38 hours
Training: 2025-12-11 22:28:06,290-Speed 1104.05 samples/sec   Loss 8.4653 target_logit_mean 0.0582 lma 0.6700  cos_theta_tmp 0.6245 geom_penalty 0.1703 geom_weighted 0.0573 Epoch: 0   Global Step: 5100   Required: 38 hours
Training: 2025-12-11 22:28:23,779-Speed 1097.89 samples/sec   Loss 8.4717 target_logit_mean 0.0573 lma 0.6639  cos_theta_tmp 0.6301 geom_penalty 0.1648 geom_weighted 0.0559 Epoch: 0   Global Step: 5150   Required: 38 hours
Training: 2025-12-11 22:28:41,273-Speed 1097.54 samples/sec   Loss 8.3823 target_logit_mean 0.0540 lma 0.6604  cos_theta_tmp 0.6230 geom_penalty 0.1569 geom_weighted 0.0538 Epoch: 0   Global Step: 5200   Required: 38 hours
Training: 2025-12-11 22:28:58,761-Speed 1098.01 samples/sec   Loss 8.3449 target_logit_mean 0.0579 lma 0.6676  cos_theta_tmp 0.6394 geom_penalty 0.1652 geom_weighted 0.0572 Epoch: 0   Global Step: 5250   Required: 38 hours
Training: 2025-12-11 22:29:16,349-Speed 1091.69 samples/sec   Loss 8.3481 target_logit_mean 0.0506 lma 0.6562  cos_theta_tmp 0.6250 geom_penalty 0.1471 geom_weighted 0.0514 Epoch: 0   Global Step: 5300   Required: 38 hours
Training: 2025-12-11 22:29:33,832-Speed 1098.23 samples/sec   Loss 8.2054 target_logit_mean 0.0617 lma 0.6769  cos_theta_tmp 0.6391 geom_penalty 0.1688 geom_weighted 0.0596 Epoch: 0   Global Step: 5350   Required: 38 hours
Training: 2025-12-11 22:29:51,277-Speed 1100.67 samples/sec   Loss 8.1686 target_logit_mean 0.0582 lma 0.6748  cos_theta_tmp 0.6345 geom_penalty 0.1676 geom_weighted 0.0597 Epoch: 0   Global Step: 5400   Required: 38 hours
